,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
138,Sri Lanka,LKA,Gini index,SI.POV.GINI,,,40.2,40.075,39.95,39.825,39.7,38.5,37.300000000000004,36.1,36.96666666666667,37.833333333333336,38.7,38.85,39.0,39.15,39.3,38.766666666666666,38.233333333333334,37.7,37.7,37.7,37.7
141,Lesotho,LSO,Gini index,SI.POV.GINI,,,51.6,51.153333333333336,50.70666666666667,50.26,49.81333333333333,49.36666666666667,48.92,48.473333333333336,48.026666666666664,47.58,47.13333333333333,46.68666666666667,46.239999999999995,45.79333333333333,45.346666666666664,44.9,44.9,44.9,44.9,44.9,44.9
143,Lithuania,LTU,Gini index,SI.POV.GINI,,,,,37.0,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36.0,36.0,36.0
144,Luxembourg,LUX,Gini index,SI.POV.GINI,30.1,30.9,31.0,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32.0,31.2,32.9,31.7,34.5,35.4,34.2,33.4,33.4,33.4
145,Latvia,LVA,Gini index,SI.POV.GINI,,,,,36.4,39.0,35.6,37.5,37.2,36.0,35.0,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,35.7,35.7
148,Morocco,MAR,Gini index,SI.POV.GINI,40.6,40.61666666666667,40.63333333333333,40.650000000000006,40.66666666666667,40.68333333333334,40.7,40.52857142857143,40.35714285714286,40.18571428571429,40.01428571428571,39.84285714285714,39.67142857142857,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
150,Moldova,MDA,Gini index,SI.POV.GINI,36.4,38.0,35.8,34.9,35.0,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27.0,26.3,25.9,25.7,26.0,25.85,25.7,25.7
151,Madagascar,MDG,Gini index,SI.POV.GINI,,47.4,45.525,43.65,41.775,39.9,40.4,40.9,41.4,41.9,42.4,42.5,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
152,Maldives,MDV,Gini index,SI.POV.GINI,,,41.3,40.885714285714286,40.47142857142857,40.05714285714286,39.64285714285714,39.22857142857143,38.81428571428571,38.4,37.385714285714286,36.371428571428574,35.357142857142854,34.34285714285714,33.32857142857143,32.31428571428572,31.3,30.633333333333333,29.96666666666667,29.3,29.3,29.3,29.3
154,Mexico,MEX,Gini index,SI.POV.GINI,52.6,51.35,50.1,50.05,50.0,50.1,48.9,49.4,49.9,48.55,47.2,47.95,48.7,48.7,48.7,48.2,47.7,47.2,46.7,46.05,45.4,45.4,45.4
155,Marshall Islands,MHL,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,35.5,35.5,35.5,35.5
157,North Macedonia,MKD,Gini index,SI.POV.GINI,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2,33.0,33.5,33.5,33.5,33.5
158,Mali,MLI,Gini index,SI.POV.GINI,,39.9,39.699999999999996,39.5,39.3,39.1,38.9,36.93333333333333,34.96666666666667,33.0,33.333333333333336,33.666666666666664,34.0,34.333333333333336,34.666666666666664,35.0,35.333333333333336,35.666666666666664,36.0,36.0,36.0,36.0,36.0
159,Malta,MLT,Gini index,SI.POV.GINI,,,,,,,28.0,29.2,29.0,30.2,29.0,29.1,29.4,28.8,29.0,29.4,29.1,29.2,28.7,31.0,31.4,31.4,31.4
160,Myanmar,MMR,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,38.1,34.4,30.7,30.7,30.7,30.7,30.7,30.7
162,Montenegro,MNE,Gini index,SI.POV.GINI,,,,,,,,,,,,,41.2,39.0,38.8,39.0,38.5,36.9,36.8,36.8,36.8,36.8,36.8
163,Mongolia,MNG,Gini index,SI.POV.GINI,,,32.9,33.48,34.059999999999995,34.64,35.22,35.8,34.9,34.0,33.1,33.9,33.8,32.9,32.0,32.15,32.3,32.5,32.7,32.7,32.7,32.7,32.7
165,Mozambique,MOZ,Gini index,SI.POV.GINI,,,47.0,46.766666666666666,46.53333333333333,46.3,46.06666666666667,45.833333333333336,45.6,47.0,48.4,49.8,51.2,52.6,54.0,53.3,52.6,51.9,51.2,50.5,50.5,50.5,50.5
166,Mauritania,MRT,Gini index,SI.POV.GINI,39.0,39.3,39.6,39.900000000000006,40.2,39.075,37.95,36.825,35.7,35.18333333333334,34.66666666666667,34.150000000000006,33.63333333333333,33.11666666666667,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
167,Mauritius,MUS,Gini index,SI.POV.GINI,,,,,,,35.7,36.16666666666667,36.63333333333333,37.1,37.56666666666667,38.03333333333333,38.5,38.16,37.82,37.48,37.14,36.8,36.8,36.8,36.8,36.8,36.8
168,Malawi,MWI,Gini index,SI.POV.GINI,,,,,39.9,40.83333333333333,41.766666666666666,42.7,43.63333333333333,44.56666666666666,45.5,45.36666666666667,45.233333333333334,45.1,44.96666666666667,44.833333333333336,44.7,42.63333333333333,40.56666666666667,38.5,38.5,38.5,38.5
169,Malaysia,MYS,Gini index,SI.POV.GINI,,,,46.4,45.86666666666667,45.33333333333333,44.8,45.15,45.5,44.96666666666667,44.43333333333333,43.9,42.599999999999994,41.3,41.2,41.1,41.13333333333333,41.16666666666667,41.2,41.2,41.2,41.2,41.2
171,Namibia,NAM,Gini index,SI.POV.GINI,,,,63.3,62.916666666666664,62.53333333333333,62.15,61.766666666666666,61.38333333333333,61.0,60.68333333333334,60.36666666666667,60.05,59.733333333333334,59.41666666666667,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
173,Niger,NER,Gini index,SI.POV.GINI,,,,,,44.4,40.849999999999994,37.3,35.849999999999994,34.4,32.95,31.5,32.43333333333333,33.36666666666667,34.3,35.05,35.8,36.55,37.3,37.3,37.3,37.3,37.3
174,Nigeria,NGA,Gini index,SI.POV.GINI,,,,40.1,39.471428571428575,38.84285714285714,38.214285714285715,37.58571428571429,36.95714285714286,36.32857142857143,35.7,35.6,35.5,35.63333333333333,35.766666666666666,35.9,35.63333333333333,35.36666666666667,35.1,35.1,35.1,35.1,35.1
175,Nicaragua,NIC,Gini index,SI.POV.GINI,,52.9,51.875,50.849999999999994,49.824999999999996,48.8,47.574999999999996,46.349999999999994,45.125,43.9,44.36,44.82,45.28,45.74,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2
176,Netherlands,NLD,Gini index,SI.POV.GINI,,,,,29.8,29.0,30.0,29.6,29.3,27.9,27.8,27.8,27.6,28.1,28.6,28.2,28.2,28.5,28.1,29.2,26.0,26.0,26.0
177,Norway,NOR,Gini index,SI.POV.GINI,27.4,27.466666666666665,27.533333333333335,27.6,31.6,30.6,26.4,27.1,27.0,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27.0,27.6,27.7,27.7,27.7,27.7
178,Nepal,NPL,Gini index,SI.POV.GINI,,,,43.8,42.22857142857143,40.65714285714285,39.08571428571428,37.51428571428571,35.94285714285714,34.37142857142857,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8
179,Nauru,NRU,Gini index,SI.POV.GINI,,,,,,,,,,,,,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4
184,Pakistan,PAK,Gini index,SI.POV.GINI,,28.7,29.433333333333334,30.166666666666664,30.9,31.3,30.5,29.7,29.4,29.1,28.8,29.7,29.6,29.5,30.4,31.3,30.733333333333334,30.166666666666668,29.6,29.6,29.6,29.6,29.6
185,Panama,PAN,Gini index,SI.POV.GINI,56.6,56.7,56.1,55.7,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,49.2,49.8,50.349999999999994,50.9,50.9
186,Peru,PER,Gini index,SI.POV.GINI,49.1,51.3,53.6,53.1,49.9,50.5,50.3,50.0,47.5,47.0,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.6,43.8,40.2,40.2
187,Philippines,PHL,Gini index,SI.POV.GINI,47.7,47.333333333333336,46.96666666666667,46.6,46.800000000000004,47.0,47.2,46.9,46.6,46.3,46.36666666666667,46.43333333333333,46.5,45.86666666666667,45.233333333333334,44.6,43.833333333333336,43.06666666666666,42.3,41.766666666666666,41.233333333333334,40.7,40.7
189,Papua New Guinea,PNG,Gini index,SI.POV.GINI,,,,,,,,,,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
190,Poland,POL,Gini index,SI.POV.GINI,,,,,38.0,35.8,34.7,34.0,33.5,33.4,33.2,33.2,33.0,33.1,32.8,31.8,31.2,29.7,30.2,28.8,28.8,28.8,28.8
194,Portugal,PRT,Gini index,SI.POV.GINI,,,,38.8,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36.0,36.2,35.6,35.5,35.2,33.8,33.5,32.8,34.7,34.7,34.7
195,Paraguay,PRY,Gini index,SI.POV.GINI,,54.6,57.3,54.9,52.3,51.4,53.0,53.0,50.7,49.1,51.0,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46.0,45.7,43.5,42.9,45.1
196,West Bank and Gaza,PSE,Gini index,SI.POV.GINI,,,,,34.0,34.7,34.0,35.6,35.05,34.5,35.3,34.4,34.26,34.12,33.980000000000004,33.84,33.7,33.7,33.7,33.7,33.7,33.7,33.7
201,Romania,ROU,Gini index,SI.POV.GINI,,,,,,,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36.0,35.9,34.4,36.0,35.8,34.8,34.6,34.6,34.6
202,Russian Federation,RUS,Gini index,SI.POV.GINI,37.1,36.9,37.3,40.0,40.3,41.3,41.0,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2,37.5,37.7,36.0,36.0,36.0
203,Rwanda,RWA,Gini index,SI.POV.GINI,48.5,49.2,49.9,50.6,51.3,52.0,51.04,50.08,49.120000000000005,48.160000000000004,47.2,46.5,45.800000000000004,45.1,44.63333333333333,44.16666666666667,43.7,43.7,43.7,43.7,43.7,43.7,43.7
206,Sudan,SDN,Gini index,SI.POV.GINI,,,,,,,,,,35.4,35.16,34.92,34.68,34.440000000000005,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2
207,Senegal,SEN,Gini index,SI.POV.GINI,,41.2,40.7,40.2,39.7,39.2,39.38333333333333,39.56666666666667,39.75,39.93333333333333,40.11666666666667,40.3,40.01428571428571,39.72857142857143,39.44285714285714,39.15714285714285,38.87142857142857,38.58571428571428,38.3,38.3,38.3,38.3,38.3
209,Solomon Islands,SLB,Gini index,SI.POV.GINI,,,,,,46.1,44.81428571428572,43.52857142857143,42.24285714285715,40.957142857142856,39.67142857142857,38.385714285714286,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1
210,Sierra Leone,SLE,Gini index,SI.POV.GINI,,,,40.2,39.425000000000004,38.650000000000006,37.875,37.1,36.325,35.55,34.775,34.0,34.24285714285714,34.48571428571429,34.72857142857143,34.971428571428575,35.214285714285715,35.45714285714286,35.7,35.7,35.7,35.7,35.7
211,El Salvador,SLV,Gini index,SI.POV.GINI,51.5,51.4,51.9,50.5,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40.0,38.0,38.6,38.8,38.9,39.0,38.8
214,Serbia,SRB,Gini index,SI.POV.GINI,,,,,,,,,,,,,39.9,39.5,40.5,40.5,38.8,36.2,35.0,34.5,35.0,35.0,35.0
216,South Sudan,SSD,Gini index,SI.POV.GINI,,,,,,,,,,46.3,45.98571428571428,45.67142857142857,45.357142857142854,45.042857142857144,44.72857142857143,44.41428571428572,44.1,44.1,44.1,44.1,44.1,44.1,44.1
219,Sao Tome and Principe,STP,Gini index,SI.POV.GINI,32.1,31.970000000000002,31.84,31.71,31.580000000000002,31.450000000000003,31.32,31.19,31.060000000000002,30.93,30.8,32.214285714285715,33.62857142857143,35.042857142857144,36.457142857142856,37.871428571428574,39.28571428571429,40.7,40.7,40.7,40.7,40.7,40.7
221,Slovak Republic,SVK,Gini index,SI.POV.GINI,,,,,27.1,29.3,25.8,24.7,26.0,27.2,27.3,26.5,26.1,28.1,26.1,26.5,25.2,23.2,25.0,23.2,23.2,23.2,23.2
222,Slovenia,SVN,Gini index,SI.POV.GINI,,,,,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2,24.6,24.4,24.0,24.0,24.0
223,Sweden,SWE,Gini index,SI.POV.GINI,27.2,26.5,25.8,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8,30.0,29.3,28.9,28.9,28.9
224,Eswatini,SWZ,Gini index,SI.POV.GINI,53.1,52.922222222222224,52.74444444444445,52.56666666666667,52.38888888888889,52.21111111111111,52.03333333333333,51.855555555555554,51.67777777777778,51.5,51.94285714285714,52.385714285714286,52.82857142857143,53.27142857142857,53.714285714285715,54.15714285714286,54.6,54.6,54.6,54.6,54.6,54.6,54.6
226,Seychelles,SYC,Gini index,SI.POV.GINI,,,,,,,,,,,,,,46.8,43.86,40.92,37.980000000000004,35.04,32.1,32.1,32.1,32.1,32.1
227,Syrian Arab Republic,SYR,Gini index,SI.POV.GINI,,,,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
229,Chad,TCD,Gini index,SI.POV.GINI,,,,39.8,40.2375,40.675,41.1125,41.55,41.9875,42.425,42.8625,43.3,42.47142857142857,41.64285714285714,40.81428571428571,39.98571428571429,39.15714285714286,38.32857142857143,37.5,37.5,37.5,37.5,37.5
232,Togo,TGO,Gini index,SI.POV.GINI,,,,,,,42.2,42.96,43.72,44.480000000000004,45.24,46.0,45.275,44.55,43.825,43.1,42.9,42.7,42.5,42.5,42.5,42.5,42.5
233,Thailand,THA,Gini index,SI.POV.GINI,42.8,42.349999999999994,41.9,42.2,42.5,42.15,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37.0,36.0,36.9,36.5,36.4,34.9,35.0,35.1,35.1
234,Tajikistan,TJK,Gini index,SI.POV.GINI,,,,32.7,33.6,33.13333333333333,32.66666666666667,32.2,31.5,30.8,31.333333333333336,31.866666666666667,32.4,32.93333333333334,33.46666666666667,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
237,Timor-Leste,TLS,Gini index,SI.POV.GINI,,35.9,34.55,33.2,31.85,30.5,29.15,27.8,27.92857142857143,28.057142857142857,28.185714285714287,28.314285714285713,28.442857142857143,28.57142857142857,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
239,Tonga,TON,Gini index,SI.POV.GINI,37.7,37.67777777777778,37.65555555555556,37.63333333333333,37.611111111111114,37.58888888888889,37.56666666666667,37.544444444444444,37.522222222222226,37.5,36.833333333333336,36.166666666666664,35.5,34.833333333333336,34.166666666666664,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
243,Tunisia,TUN,Gini index,SI.POV.GINI,40.8,40.18,39.56,38.94,38.32,37.7,37.32,36.94,36.56,36.18,35.8,35.199999999999996,34.599999999999994,34.0,33.4,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8
244,Turkiye,TUR,Gini index,SI.POV.GINI,,,41.4,42.2,41.3,42.6,39.6,38.4,39.0,39.0,38.8,40.0,40.2,40.2,41.2,42.9,41.9,41.4,41.9,41.9,41.9,41.9,41.9
245,Tuvalu,TUV,Gini index,SI.POV.GINI,,,,,,,,,,,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1
246,Tanzania,TZA,Gini index,SI.POV.GINI,37.3,37.72857142857143,38.15714285714285,38.58571428571428,39.01428571428571,39.44285714285714,39.87142857142857,40.3,39.675,39.05,38.425,37.8,38.18571428571428,38.57142857142857,38.957142857142856,39.34285714285714,39.72857142857143,40.114285714285714,40.5,40.5,40.5,40.5,40.5
247,Uganda,UGA,Gini index,SI.POV.GINI,,,45.2,44.43333333333334,43.666666666666664,42.9,43.225,43.55,43.875,44.2,43.13333333333333,42.06666666666667,41.0,41.45,41.9,42.349999999999994,42.8,42.766666666666666,42.733333333333334,42.7,42.7,42.7,42.7
248,Ukraine,UKR,Gini index,SI.POV.GINI,,,29.0,28.7,28.9,29.0,29.8,27.0,26.6,25.3,24.8,24.6,24.7,24.6,24.0,25.5,25.0,26.0,26.1,26.6,25.6,25.6,25.6
250,Uruguay,URY,Gini index,SI.POV.GINI,,,,,,,45.9,46.4,45.1,45.5,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,40.8
251,United States,USA,Gini index,SI.POV.GINI,40.1,40.6,40.4,40.8,40.3,41.0,41.4,40.8,40.8,40.6,40.0,40.9,40.9,40.7,41.5,41.2,41.1,41.2,41.4,41.5,39.7,39.8,39.8
252,Uzbekistan,UZB,Gini index,SI.POV.GINI,36.1,34.55,33.0,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
254,"Venezuela, RB",VEN,Gini index,SI.POV.GINI,,47.2,49.0,48.1,47.5,49.5,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8
257,Viet Nam,VNM,Gini index,SI.POV.GINI,,,37.0,36.9,36.8,36.3,35.8,35.7,35.6,37.45,39.3,37.45,35.6,35.2,34.8,35.05,35.3,35.5,35.7,36.25,36.8,36.8,36.8
258,Vanuatu,VUT,Gini index,SI.POV.GINI,,,,,,,,,,,37.4,36.83333333333333,36.266666666666666,35.699999999999996,35.13333333333333,34.56666666666666,34.0,33.43333333333333,32.86666666666666,32.3,32.3,32.3,32.3
260,Samoa,WSM,Gini index,SI.POV.GINI,,,40.7,40.91666666666667,41.13333333333333,41.35,41.56666666666667,41.78333333333333,42.0,41.34,40.68,40.02,39.36,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7
261,Kosovo,XKX,Gini index,SI.POV.GINI,,,,29.0,30.1,31.2,30.3,30.8,31.3,31.8,33.3,27.8,29.0,26.3,27.3,26.5,26.7,29.0,29.0,29.0,29.0,29.0,29.0
262,"Yemen, Rep.",YEM,Gini index,SI.POV.GINI,,,,,,34.7,34.922222222222224,35.144444444444446,35.36666666666667,35.58888888888889,35.81111111111112,36.03333333333334,36.25555555555556,36.47777777777778,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7
263,South Africa,ZAF,Gini index,SI.POV.GINI,57.8,59.199999999999996,60.599999999999994,62.0,63.4,64.8,64.2,63.6,63.0,63.2,63.4,63.3,63.2,63.1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
264,Zambia,ZMB,Gini index,SI.POV.GINI,,,42.1,48.2,54.3,54.45,54.6,53.95,53.3,52.65,52.0,52.78,53.56,54.339999999999996,55.12,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9
265,Zimbabwe,ZWE,Gini index,SI.POV.GINI,,,,,,,,,,,,43.2,43.38333333333333,43.56666666666667,43.75,43.93333333333333,44.11666666666667,44.3,47.3,50.3,50.3,50.3,50.3
